Paper,origin
Kepler 2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.4646K/abstract
Kilic 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...898...84K/abstract
Dufour 2010,https://ui.adsabs.harvard.edu/abs/2010ApJ...719..803D/abstract
Jura 2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...799..109J/abstract
Wilson 2015,https://ui.adsabs.harvard.edu/abs/2015MNRAS.451.3237W/abstract
Subasavage 2017,https://ui.adsabs.harvard.edu/abs/2017AJ....154...32S/abstract
Leggett 2018,https://ui.adsabs.harvard.edu/abs/2018ApJS..239...26L/abstract
Limbach 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240816813L/abstract
Sayres 2012,https://ui.adsabs.harvard.edu/abs/2012AJ....143..103S/abstract
Steele 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...911...25S/abstract
Le Bourdais 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv241010948L/abstract
Fortin-Archambault 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...888...47F/abstract
Badenas-Agusti 2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240205176B/abstract
Xu 2017,https://ui.adsabs.harvard.edu/abs/2017ApJ...836L...7X/abstract
Subasavage 2007,https://ui.adsabs.harvard.edu/abs/2007AJ....134..252S/abstract
O'Brien 2023,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract
O'Brien 2024,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.8687O/abstract
Gaensicke 2019,https://ui.adsabs.harvard.edu/abs/2019Natur.576...61G/abstract
Elms 2022,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.4557E/abstract
Hoskin 2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..171H/abstract
Barstow 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.440.1607B/abstract
Zuckerman 2003,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract
Swan 2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.490..202S/abstract
Farihi 2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.3186F/abstract
Tremblay 2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract
Gonzalez Egea 2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.3916G/abstract
Holberg 1996,https://ui.adsabs.harvard.edu/abs/1996AJ....111.2361H/abstract
O’Brien 2025,https://ui.adsabs.harvard.edu/abs/2025MNRAS.539..171O/abstract
Le Bourdais 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...993....8L/abstract
Williams 2025,https://ui.adsabs.harvard.edu/abs/2025MNRAS.541.1377W/abstract
